Index,Cathode,O,N,SSA,PV,RMIC,Dap,ID/IG,M,Anion,AML,PW,CD,Cs,Ref
53,LPCS-800,11.2,4.2,697.0,0.83,21.6867469879518,3.21,0.958,1,SO4,2.0,1.6,2.0,51.3,10.1016/j.jcis.2023.03.024
54,LPCS-800,11.2,4.2,697.0,0.83,21.6867469879518,3.21,0.958,1,SO4,2.0,1.6,5.0,45.7,10.1016/j.jcis.2023.03.024
55,LPCS-800,11.2,4.2,697.0,0.83,21.6867469879518,3.21,0.958,1,SO4,2.0,1.6,10.0,42.3,10.1016/j.jcis.2023.03.024
56,LPCS-800,11.2,4.2,697.0,0.83,21.6867469879518,3.21,0.958,1,SO4,2.0,1.6,20.0,38.9,10.1016/j.jcis.2023.03.024
57,LPCS-800,11.2,4.2,697.0,0.83,21.6867469879518,3.21,0.958,1,SO4,2.0,1.6,50.0,33.3,10.1016/j.jcis.2023.03.024
58,LPCS-800,11.2,4.2,697.0,0.83,21.6867469879518,3.21,0.958,1,SO4,2.0,1.6,100.0,28.7,10.1016/j.jcis.2023.03.024
59,LPCS-800,11.2,4.2,697.0,0.83,21.6867469879518,3.21,0.958,1,SO4,2.0,1.6,200.0,27.2,10.1016/j.jcis.2023.03.024
60,NPCN750,12.04,8.29,1530.9,0.96,38.5416666666667,2.50832843425436,0.86,1,OTf,2.4,1.6,0.1,204.7,10.1016/j.jpowsour.2022.232348
61,NPCN750,12.04,8.29,1530.9,0.96,38.5416666666667,2.50832843425436,0.86,1,OTf,2.4,1.6,0.2,181.5,10.1016/j.jpowsour.2022.232348
62,NPCN750,12.04,8.29,1530.9,0.96,38.5416666666667,2.50832843425436,0.86,1,OTf,2.4,1.6,0.5,165.9,10.1016/j.jpowsour.2022.232348
63,NPCN750,12.04,8.29,1530.9,0.96,38.5416666666667,2.50832843425436,0.86,1,OTf,2.4,1.6,1.0,152.7,10.1016/j.jpowsour.2022.232348
64,NPCN750,12.04,8.29,1530.9,0.96,38.5416666666667,2.50832843425436,0.86,1,OTf,2.4,1.6,2.0,141.1,10.1016/j.jpowsour.2022.232348
65,NPCN750,12.04,8.29,1530.9,0.96,38.5416666666667,2.50832843425436,0.86,1,OTf,2.4,1.6,5.0,134.2,10.1016/j.jpowsour.2022.232348
66,NPCN750,12.04,8.29,1530.9,0.96,38.5416666666667,2.50832843425436,0.86,1,OTf,2.4,1.6,10.0,128.6,10.1016/j.jpowsour.2022.232348
67,SMC-700,20.61,3.95,544.83,0.26,95.4462859974671,1.90885230255309,0.96,2,SO4,2.0,1.8,0.1,134.5,10.1016/j.carbon.2023.118774
68,SMC-700,20.61,3.95,544.83,0.26,95.4462859974671,1.90885230255309,0.96,2,SO4,2.0,1.8,0.2,110.2,10.1016/j.carbon.2023.118774
69,SMC-700,20.61,3.95,544.83,0.26,95.4462859974671,1.90885230255309,0.96,2,SO4,2.0,1.8,0.4,93.0,10.1016/j.carbon.2023.118774
70,SMC-700,20.61,3.95,544.83,0.26,95.4462859974671,1.90885230255309,0.96,2,SO4,2.0,1.8,0.5,86.7,10.1016/j.carbon.2023.118774
71,SMC-700,20.61,3.95,544.83,0.26,95.4462859974671,1.90885230255309,0.96,2,SO4,2.0,1.8,1.0,72.9,10.1016/j.carbon.2023.118774
72,SMC-700,20.61,3.95,544.83,0.26,95.4462859974671,1.90885230255309,0.96,2,SO4,2.0,1.8,2.0,57.0,10.1016/j.carbon.2023.118774
73,SMC-700,20.61,3.95,544.83,0.26,95.4462859974671,1.90885230255309,0.96,2,SO4,2.0,1.8,3.0,48.0,10.1016/j.carbon.2023.118774
74,SMC-700,20.61,3.95,544.83,0.26,95.4462859974671,1.90885230255309,0.96,2,SO4,2.0,1.8,4.0,41.5,10.1016/j.carbon.2023.118774
75,SMC-800,18.15,3.51,648.22,0.32,94.9369041374842,1.97463824010367,1.01,2,SO4,2.0,1.8,0.1,156.54,10.1016/j.carbon.2023.118774
76,SMC-800,18.15,3.51,648.22,0.32,94.9369041374842,1.97463824010367,1.01,2,SO4,2.0,1.8,0.2,132.3,10.1016/j.carbon.2023.118774
77,SMC-800,18.15,3.51,648.22,0.32,94.9369041374842,1.97463824010367,1.01,2,SO4,2.0,1.8,0.3,111.55,10.1016/j.carbon.2023.118774
78,SMC-800,18.15,3.51,648.22,0.32,94.9369041374842,1.97463824010367,1.01,2,SO4,2.0,1.8,0.4,105.4,10.1016/j.carbon.2023.118774
79,SMC-800,18.15,3.51,648.22,0.32,94.9369041374842,1.97463824010367,1.01,2,SO4,2.0,1.8,0.5,98.5,10.1016/j.carbon.2023.118774
80,SMC-800,18.15,3.51,648.22,0.32,94.9369041374842,1.97463824010367,1.01,2,SO4,2.0,1.8,1.0,86.8,10.1016/j.carbon.2023.118774
81,SMC-800,18.15,3.51,648.22,0.32,94.9369041374842,1.97463824010367,1.01,2,SO4,2.0,1.8,2.0,70.5,10.1016/j.carbon.2023.118774
82,SMC-800,18.15,3.51,648.22,0.32,94.9369041374842,1.97463824010367,1.01,2,SO4,2.0,1.8,3.0,59.2,10.1016/j.carbon.2023.118774
83,SMC-800,18.15,3.51,648.22,0.32,94.9369041374842,1.97463824010367,1.01,2,SO4,2.0,1.8,4.0,51.8,10.1016/j.carbon.2023.118774
84,SMC-900,15.17,1.8,225.22,0.1,92.0122546843087,1.81,1.08,2,SO4,2.0,1.8,0.1,84.5,10.1016/j.carbon.2023.118774
85,SMC-900,15.17,1.8,225.22,0.1,92.0122546843087,1.81,1.08,2,SO4,2.0,1.8,0.2,63.4,10.1016/j.carbon.2023.118774
86,SMC-900,15.17,1.8,225.22,0.1,92.0122546843087,1.81,1.08,2,SO4,2.0,1.8,0.4,50.7,10.1016/j.carbon.2023.118774
87,SMC-900,15.17,1.8,225.22,0.1,92.0122546843087,1.81,1.08,2,SO4,2.0,1.8,0.5,45.0,10.1016/j.carbon.2023.118774
88,SMC-900,15.17,1.8,225.22,0.1,92.0122546843087,1.81,1.08,2,SO4,2.0,1.8,1.0,34.5,10.1016/j.carbon.2023.118774
89,SMC-900,15.17,1.8,225.22,0.1,92.0122546843087,1.81,1.08,2,SO4,2.0,1.8,2.0,24.5,10.1016/j.carbon.2023.118774
90,SMC-900,15.17,1.8,225.22,0.1,92.0122546843087,1.81,1.08,2,SO4,2.0,1.8,3.0,19.7,10.1016/j.carbon.2023.118774
91,SMC-900,15.17,1.8,225.22,0.1,92.0122546843087,1.81,1.08,2,SO4,2.0,1.8,4.0,17.0,10.1016/j.carbon.2023.118774
92,CSAC,11.92,0.0,2228.0,1.07,59.8130841121495,1.92100538599641,1.5,1,SO4,2.0,1.75,0.2,153.0,10.3390/molecules28207187
93,CSAC,11.92,0.0,2228.0,1.07,59.8130841121495,1.92100538599641,1.5,1,SO4,2.0,1.75,0.5,125.0,10.3390/molecules28207187
94,CSAC,11.92,0.0,2228.0,1.07,59.8130841121495,1.92100538599641,1.5,1,SO4,2.0,1.75,1.0,110.0,10.3390/molecules28207187
95,CSAC,11.92,0.0,2228.0,1.07,59.8130841121495,1.92100538599641,1.5,1,SO4,2.0,1.75,2.0,98.0,10.3390/molecules28207187
96,CSAC,11.92,0.0,2228.0,1.07,59.8130841121495,1.92100538599641,1.5,1,SO4,2.0,1.75,5.0,84.0,10.3390/molecules28207187
97,CSAC,11.92,0.0,2228.0,1.07,59.8130841121495,1.92100538599641,1.5,1,SO4,2.0,1.75,10.0,75.0,10.3390/molecules28207187
98,N-CNC,5.5,2.53,947.0,0.54,50.0,2.27,0.855,1,SO4,,1.6,0.5,117.9,10.1007/s12274-021-4003-x
99,N-CNC,5.5,2.53,947.0,0.54,50.0,2.27,0.855,1,SO4,,1.6,20.0,71.0,10.1007/s12274-021-4003-x
100,AL-KNPC-700,9.64,3.44,1624.0,0.918,65.2505446623094,2.26108374384236,0.999,1,SO4,2.0,1.6,0.1,119.9,10.1016/j.cej.2023.147994
101,AL-KNPC-700,9.64,3.44,1624.0,0.918,65.2505446623094,2.26108374384236,0.999,1,SO4,2.0,1.6,0.2,108.3,10.1016/j.cej.2023.147994
102,AL-KNPC-700,9.64,3.44,1624.0,0.918,65.2505446623094,2.26108374384236,0.999,1,SO4,2.0,1.6,0.5,100.2,10.1016/j.cej.2023.147994
103,AL-KNPC-700,9.64,3.44,1624.0,0.918,65.2505446623094,2.26108374384236,0.999,1,SO4,2.0,1.6,1.0,94.6,10.1016/j.cej.2023.147994
104,AL-KNPC-700,9.64,3.44,1624.0,0.918,65.2505446623094,2.26108374384236,0.999,1,SO4,2.0,1.6,2.0,90.4,10.1016/j.cej.2023.147994
105,AL-KNPC-700,9.64,3.44,1624.0,0.918,65.2505446623094,2.26108374384236,0.999,1,SO4,2.0,1.6,5.0,84.8,10.1016/j.cej.2023.147994
106,AL-KNPC-700,9.64,3.44,1624.0,0.918,65.2505446623094,2.26108374384236,0.999,1,SO4,2.0,1.6,20.0,81.1,10.1016/j.cej.2023.147994
107,AL-KNPC-800,8.42,1.64,1949.0,1.133,45.8075904677846,2.32529502308876,0.917,1,SO4,2.0,1.6,0.1,159.9,10.1016/j.cej.2023.147994
108,AL-KNPC-800,8.42,1.64,1949.0,1.133,45.8075904677846,2.32529502308876,0.917,1,SO4,2.0,1.6,0.2,139.2,10.1016/j.cej.2023.147994
109,AL-KNPC-800,8.42,1.64,1949.0,1.133,45.8075904677846,2.32529502308876,0.917,1,SO4,2.0,1.6,0.5,124.8,10.1016/j.cej.2023.147994
110,AL-KNPC-800,8.42,1.64,1949.0,1.133,45.8075904677846,2.32529502308876,0.917,1,SO4,2.0,1.6,1.0,116.0,10.1016/j.cej.2023.147994
111,AL-KNPC-800,8.42,1.64,1949.0,1.133,45.8075904677846,2.32529502308876,0.917,1,SO4,2.0,1.6,2.0,109.9,10.1016/j.cej.2023.147994
112,AL-KNPC-800,8.42,1.64,1949.0,1.133,45.8075904677846,2.32529502308876,0.917,1,SO4,2.0,1.6,5.0,101.9,10.1016/j.cej.2023.147994
113,AL-KNPC-800,8.42,1.64,1949.0,1.133,45.8075904677846,2.32529502308876,0.917,1,SO4,2.0,1.6,20.0,94.0,10.1016/j.cej.2023.147994
114,AL-KNPC-900,5.52,0.89,2276.0,1.331,20.961682945154,2.33919156414763,0.872,1,SO4,2.0,1.6,0.1,114.2,10.1016/j.cej.2023.147994
115,AL-KNPC-900,5.52,0.89,2276.0,1.331,20.961682945154,2.33919156414763,0.872,1,SO4,2.0,1.6,0.2,104.8,10.1016/j.cej.2023.147994
116,AL-KNPC-900,5.52,0.89,2276.0,1.331,20.961682945154,2.33919156414763,0.872,1,SO4,2.0,1.6,0.5,95.6,10.1016/j.cej.2023.147994
117,AL-KNPC-900,5.52,0.89,2276.0,1.331,20.961682945154,2.33919156414763,0.872,1,SO4,2.0,1.6,1.0,90.0,10.1016/j.cej.2023.147994
118,AL-KNPC-900,5.52,0.89,2276.0,1.331,20.961682945154,2.33919156414763,0.872,1,SO4,2.0,1.6,2.0,86.8,10.1016/j.cej.2023.147994
119,AL-KNPC-900,5.52,0.89,2276.0,1.331,20.961682945154,2.33919156414763,0.872,1,SO4,2.0,1.6,5.0,82.4,10.1016/j.cej.2023.147994
120,AL-KNPC-900,5.52,0.89,2276.0,1.331,20.961682945154,2.33919156414763,0.872,1,SO4,2.0,1.6,20.0,78.5,10.1016/j.cej.2023.147994
121,PCNF-3,7.71,0.0,804.0,0.315,62.1890547263682,1.56716417910448,0.97,1,SO4,1.2,1.6,0.5,48.3,10.1016/j.apsusc.2020.145384
122,PCNF-3,7.71,0.0,804.0,0.315,62.1890547263682,1.56716417910448,0.97,1,SO4,1.2,1.6,1.0,43.4,10.1016/j.apsusc.2020.145384
123,PCNF-3,7.71,0.0,804.0,0.315,62.1890547263682,1.56716417910448,0.97,1,SO4,1.2,1.6,2.0,38.9,10.1016/j.apsusc.2020.145384
124,PCNF-3,7.71,0.0,804.0,0.315,62.1890547263682,1.56716417910448,0.97,1,SO4,1.2,1.6,3.0,36.5,10.1016/j.apsusc.2020.145384
125,PCNF-3,7.71,0.0,804.0,0.315,62.1890547263682,1.56716417910448,0.97,1,SO4,1.2,1.6,4.0,34.8,10.1016/j.apsusc.2020.145384
126,PCNF-3,7.71,0.0,804.0,0.315,62.1890547263682,1.56716417910448,0.97,1,SO4,1.2,1.6,5.0,33.2,10.1016/j.apsusc.2020.145384
127,PCNF-3,7.71,0.0,804.0,0.315,62.1890547263682,1.56716417910448,0.97,1,SO4,1.2,1.6,7.0,30.2,10.1016/j.apsusc.2020.145384
128,PCNF-3,7.71,0.0,804.0,0.315,62.1890547263682,1.56716417910448,0.97,1,SO4,1.2,1.6,10.0,26.7,10.1016/j.apsusc.2020.145384
129,PCNF-3,7.71,0.0,804.0,0.315,62.1890547263682,1.56716417910448,0.97,1,SO4,1.2,1.6,15.0,24.7,10.1016/j.apsusc.2020.145384
130,PCNF-3,7.71,0.0,804.0,0.315,62.1890547263682,1.56716417910448,0.97,1,SO4,1.2,1.6,20.0,21.6,10.1016/j.apsusc.2020.145384
131,PCNF-4,8.06,0.0,1770.0,0.721,57.6271186440678,1.62937853107345,1.1,1,SO4,1.2,1.6,0.5,177.7,10.1016/j.apsusc.2020.145384
132,PCNF-4,8.06,0.0,1770.0,0.721,57.6271186440678,1.62937853107345,1.1,1,SO4,1.2,1.6,1.0,148.5,10.1016/j.apsusc.2020.145384
133,PCNF-4,8.06,0.0,1770.0,0.721,57.6271186440678,1.62937853107345,1.1,1,SO4,1.2,1.6,2.0,135.5,10.1016/j.apsusc.2020.145384
134,PCNF-4,8.06,0.0,1770.0,0.721,57.6271186440678,1.62937853107345,1.1,1,SO4,1.2,1.6,3.0,127.9,10.1016/j.apsusc.2020.145384
135,PCNF-4,8.06,0.0,1770.0,0.721,57.6271186440678,1.62937853107345,1.1,1,SO4,1.2,1.6,4.0,122.1,10.1016/j.apsusc.2020.145384
136,PCNF-4,8.06,0.0,1770.0,0.721,57.6271186440678,1.62937853107345,1.1,1,SO4,1.2,1.6,5.0,117.0,10.1016/j.apsusc.2020.145384
137,PCNF-4,8.06,0.0,1770.0,0.721,57.6271186440678,1.62937853107345,1.1,1,SO4,1.2,1.6,7.0,107.5,10.1016/j.apsusc.2020.145384
138,PCNF-4,8.06,0.0,1770.0,0.721,57.6271186440678,1.62937853107345,1.1,1,SO4,1.2,1.6,10.0,102.9,10.1016/j.apsusc.2020.145384
139,PCNF-4,8.06,0.0,1770.0,0.721,57.6271186440678,1.62937853107345,1.1,1,SO4,1.2,1.6,15.0,91.3,10.1016/j.apsusc.2020.145384
140,PCNF-4,8.06,0.0,1770.0,0.721,57.6271186440678,1.62937853107345,1.1,1,SO4,1.2,1.6,20.0,85.5,10.1016/j.apsusc.2020.145384
141,PCNF-5,9.3,0.0,1781.0,0.784,53.3408197641774,1.76080853453116,1.18,1,SO4,1.2,1.6,0.5,108.2,10.1016/j.apsusc.2020.145384
142,PCNF-5,9.3,0.0,1781.0,0.784,53.3408197641774,1.76080853453116,1.18,1,SO4,1.2,1.6,1.0,96.6,10.1016/j.apsusc.2020.145384
143,PCNF-5,9.3,0.0,1781.0,0.784,53.3408197641774,1.76080853453116,1.18,1,SO4,1.2,1.6,2.0,86.9,10.1016/j.apsusc.2020.145384
144,PCNF-5,9.3,0.0,1781.0,0.784,53.3408197641774,1.76080853453116,1.18,1,SO4,1.2,1.6,3.0,82.0,10.1016/j.apsusc.2020.145384
145,PCNF-5,9.3,0.0,1781.0,0.784,53.3408197641774,1.76080853453116,1.18,1,SO4,1.2,1.6,4.0,78.7,10.1016/j.apsusc.2020.145384
146,PCNF-5,9.3,0.0,1781.0,0.784,53.3408197641774,1.76080853453116,1.18,1,SO4,1.2,1.6,5.0,75.2,10.1016/j.apsusc.2020.145384
147,PCNF-5,9.3,0.0,1781.0,0.784,53.3408197641774,1.76080853453116,1.18,1,SO4,1.2,1.6,7.0,72.0,10.1016/j.apsusc.2020.145384
148,PCNF-5,9.3,0.0,1781.0,0.784,53.3408197641774,1.76080853453116,1.18,1,SO4,1.2,1.6,10.0,67.1,10.1016/j.apsusc.2020.145384
149,PCNF-5,9.3,0.0,1781.0,0.784,53.3408197641774,1.76080853453116,1.18,1,SO4,1.2,1.6,15.0,60.5,10.1016/j.apsusc.2020.145384
150,PCNF-5,9.3,0.0,1781.0,0.784,53.3408197641774,1.76080853453116,1.18,1,SO4,1.2,1.6,20.0,57.0,10.1016/j.apsusc.2020.145384
151,MSHPC1.5-800,6.99,1.59,2465.9,1.29,0.0,2.09254227665355,0.912,2,SO4,2.0,1.8,0.05,108.5,10.1016/j.est.2023.106900
152,MSHPC1.5-800,6.99,1.59,2465.9,1.29,0.0,2.09254227665355,0.912,2,SO4,2.0,1.8,0.1,85.9,10.1016/j.est.2023.106900
153,MSHPC1.5-800,6.99,1.59,2465.9,1.29,0.0,2.09254227665355,0.912,2,SO4,2.0,1.8,0.2,73.1,10.1016/j.est.2023.106900
154,MSHPC1.5-800,6.99,1.59,2465.9,1.29,0.0,2.09254227665355,0.912,2,SO4,2.0,1.8,0.3,68.7,10.1016/j.est.2023.106900
155,MSHPC1.5-800,6.99,1.59,2465.9,1.29,0.0,2.09254227665355,0.912,2,SO4,2.0,1.8,0.5,65.0,10.1016/j.est.2023.106900
156,MSHPC1.5-800,6.99,1.59,2465.9,1.29,0.0,2.09254227665355,0.912,2,SO4,2.0,1.8,1.0,60.8,10.1016/j.est.2023.106900
157,MSHPC1.5-800,6.99,1.59,2465.9,1.29,0.0,2.09254227665355,0.912,2,SO4,2.0,1.8,2.0,55.3,10.1016/j.est.2023.106900
158,MSHPC1.5-800,6.99,1.59,2465.9,1.29,0.0,2.09254227665355,0.912,2,SO4,2.0,1.8,3.0,52.7,10.1016/j.est.2023.106900
159,MSHPC1.5-800,6.99,1.59,2465.9,1.29,0.0,2.09254227665355,0.912,2,SO4,2.0,1.8,5.0,49.2,10.1016/j.est.2023.106900
160,MSHPC1.5-800,6.99,1.59,2465.9,1.29,0.0,2.09254227665355,0.912,2,SO4,2.0,1.8,10.0,44.5,10.1016/j.est.2023.106900
161,MSHPC1.5-800,6.99,1.59,2465.9,1.29,0.0,2.09254227665355,0.912,2,SO4,2.0,1.8,15.0,41.6,10.1016/j.est.2023.106900
162,MSHPC1.5-800,6.99,1.59,2465.9,1.29,0.0,2.09254227665355,0.912,2,SO4,2.0,1.8,20.0,41.0,10.1016/j.est.2023.106900
163,NTC,3.9,9.7,844.0,0.41,77.3696682464455,1.94312796208531,0.99,1,SO4,1.0,2.0,0.1,189.4,10.1002/adfm.201909725
164,NTC,3.9,9.7,844.0,0.41,77.3696682464455,1.94312796208531,0.99,1,SO4,1.0,2.0,0.2,154.5,10.1002/adfm.201909725
165,NTC,3.9,9.7,844.0,0.41,77.3696682464455,1.94312796208531,0.99,1,SO4,1.0,2.0,0.5,131.5,10.1002/adfm.201909725
166,NTC,3.9,9.7,844.0,0.41,77.3696682464455,1.94312796208531,0.99,1,SO4,1.0,2.0,1.0,130.4,10.1002/adfm.201909725
167,NTC,3.9,9.7,844.0,0.41,77.3696682464455,1.94312796208531,0.99,1,SO4,1.0,2.0,2.0,117.9,10.1002/adfm.201909725
